	VBO:ID (start after the species ID)	label (includes species name because the same name might be shared between species)	new label	updated transboundary name (correct spelling)	species =parent term	parent ID	source for parents	in subset transboundary
Graue Wiener!%!Rabbit	VBO:0001254	Graue Wiener (Rabbit)	Graue Wiener; Rabbit	Graue Wiener	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Hare!%!Rabbit	VBO:0001255	Hare (Rabbit)	Hare; Rabbit	Hare	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Havanna!%!Rabbit	VBO:0001256	Havanna (Rabbit)	Havanna; Rabbit	Havanna	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Hermelin!%!Rabbit	VBO:0001257	Hermelin (Rabbit)	Hermelin; Rabbit	Hermelin	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Holland Lop!%!Rabbit	VBO:0001258	Holland Lop (Rabbit)	Holland Lop; Rabbit	Holland Lop	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Japanese!%!Rabbit	VBO:0001259	Japanese (Rabbit)	Japanese; Rabbit	Japanese	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Kenya White!%!Rabbit	VBO:0001260	Kenya White (Rabbit)	Kenya White; Rabbit	Kenya White	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Lynx!%!Rabbit	VBO:0001261	Lynx (Rabbit)	Lynx; Rabbit	Lynx	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Marburger Feh!%!Rabbit	VBO:0001262	Marburger Feh (Rabbit)	Marburger Feh; Rabbit	Marburger Feh	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Mariposa!%!Rabbit	VBO:0001263	Mariposa (Rabbit)	Mariposa; Rabbit	Mariposa	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Marten!%!Rabbit	VBO:0001264	Marten (Rabbit)	Marten; Rabbit	Marten	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Mecklenburger Schecke!%!Rabbit	VBO:0001265	Mecklenburger Schecke (Rabbit)	Mecklenburger Schecke; Rabbit	Mecklenburger Schecke	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Netherland dwarf!%!Rabbit	VBO:0001266	Netherland dwarf (Rabbit)	Netherland dwarf; Rabbit	Netherland dwarf	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
New Zealand!%!Rabbit	VBO:0001267	New Zealand (Rabbit)	New Zealand; Rabbit	New Zealand	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
New Zealand Red!%!Rabbit	VBO:0001268	New Zealand Red (Rabbit)	New Zealand Red; Rabbit	New Zealand Red	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
New Zealand White!%!Rabbit	VBO:0001269	New Zealand White (Rabbit)	New Zealand White; Rabbit	New Zealand White	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Pearl!%!Rabbit	VBO:0001270	Pearl (Rabbit)	Pearl; Rabbit	Pearl	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Popielno White!%!Rabbit	VBO:0001271	Popielno White (Rabbit)	Popielno White; Rabbit	Popielno White	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Rex!%!Rabbit	VBO:0001272	Rex (Rabbit)	Rex; Rabbit	Rex	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Rex Small!%!Rabbit	VBO:0001273	Rex Small (Rabbit)	Rex Small; Rabbit	Rex Small	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
RhÃ¶n!%!Rabbit	VBO:0001274	Rhön (Rabbit)	Rhön; Rabbit	Rhön	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Rheinische Schecken!%!Rabbit	VBO:0001275	Rheinische Schecken (Rabbit)	Rheinische Schecken; Rabbit	Rheinische Schecken	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Russian!%!Rabbit	VBO:0001276	Russian (Rabbit)	Russian; Rabbit	Russian	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Satin!%!Rabbit	VBO:0001277	Satin (Rabbit)	Satin; Rabbit	Satin	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Schwarze Wiener!%!Rabbit	VBO:0001278	Schwarze Wiener (Rabbit)	Schwarze Wiener; Rabbit	Schwarze Wiener	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Siamese!%!Rabbit	VBO:0001279	Siamese (Rabbit)	Siamese; Rabbit	Siamese	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Silver!%!Rabbit	VBO:0001280	Silver (Rabbit)	Silver; Rabbit	Silver	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Soviet Chinchilla!%!Rabbit	VBO:0001281	Soviet Chinchilla (Rabbit)	Soviet Chinchilla; Rabbit	Soviet Chinchilla	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Tan!%!Rabbit	VBO:0001282	Tan (Rabbit)	Tan; Rabbit	Tan	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
ThÃ¼ringer!%!Rabbit	VBO:0001283	Thüringer (Rabbit)	Thüringer; Rabbit	Thüringer	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Three Colour Spotted!%!Rabbit	VBO:0001284	Three Colour Spotted (Rabbit)	Three Colour Spotted; Rabbit	Three Colour Spotted	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Weisse Wiener!%!Rabbit	VBO:0001285	Weisse Wiener (Rabbit)	Weisse Wiener; Rabbit	Weisse Wiener	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
White Danish Landrace Rabbit!%!Rabbit	VBO:0001286	White Danish Landrace Rabbit (Rabbit)	White Danish Landrace Rabbit; Rabbit	White Danish Landrace Rabbit	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
White Giant!%!Rabbit	VBO:0001287	White Giant (Rabbit)	White Giant; Rabbit	White Giant	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
White Hotot!%!Rabbit	VBO:0001288	White Hotot (Rabbit)	White Hotot; Rabbit	White Hotot	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Wiener!%!Rabbit	VBO:0001289	Wiener (Rabbit)	Wiener; Rabbit	Wiener	Rabbit	NCBITaxon:9986	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
(Asaf)!%!Sheep	VBO:0001290	Asaf (Sheep)	Asaf; Sheep	Asaf	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Å»elaÅºnieÅ„ska!%!Sheep	VBO:0001291	Żelaźnieńska (Sheep)	Żelaźnieńska; Sheep	Żelaźnieńska	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Adali!%!Sheep	VBO:0001292	Adali (Sheep)	Adali; Sheep	Adali	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Akele Guzai!%!Sheep	VBO:0001293	Akele Guzai (Sheep)	Akele Guzai; Sheep	Akele Guzai	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
American Karakul!%!Sheep	VBO:0001294	American Karakul (Sheep)	American Karakul; Sheep	American Karakul	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Andalusian Churra!%!Sheep	VBO:0001295	Andalusian Churra (Sheep)	Andalusian Churra; Sheep	Andalusian Churra	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Ansotana!%!Sheep	VBO:0001296	Ansotana (Sheep)	Ansotana; Sheep	Ansotana	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Åowicka!%!Sheep	VBO:0001297	Åowicka (Sheep)	Åowicka; Sheep	Åowicka	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Arabi!%!Sheep	VBO:0001298	Arabi (Sheep)	Arabi; Sheep	Arabi	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Aranesa!%!Sheep	VBO:0001299	Aranesa (Sheep)	Aranesa; Sheep	Aranesa	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Ardes!%!Sheep	VBO:0001300	Ardes (Sheep)	Ardes; Sheep	Ardes	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Argali!%!Sheep	VBO:0001301	Argali (Sheep)	Argali; Sheep	Argali	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Arrit!%!Sheep	VBO:0001302	Arrit (Sheep)	Arrit; Sheep	Arrit	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Askanian!%!Sheep	VBO:0001303	Askanian (Sheep)	Askanian; Sheep	Askanian	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Assaf!%!Sheep	VBO:0001304	Assaf (Sheep)	Assaf; Sheep	Assaf	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Åšwiniarka!%!Sheep	VBO:0001305	Świniarka (Sheep)	Świniarka; Sheep	Świniarka	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Australian Merino!%!Sheep	VBO:0001306	Australian Merino (Sheep)	Australian Merino; Sheep	Australian Merino	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Avranchin!%!Sheep	VBO:0001307	Avranchin (Sheep)	Avranchin; Sheep	Avranchin	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Awassi!%!Sheep	VBO:0001308	Awassi (Sheep)	Awassi; Sheep	Awassi	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Badger Face Welsh Mountain!%!Sheep	VBO:0001309	Badger Face Welsh Mountain (Sheep)	Badger Face Welsh Mountain; Sheep	Badger Face Welsh Mountain	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Badger Faced Welsh Mountain!%!Sheep	VBO:0001310	Badger Faced Welsh Mountain (Sheep)	Badger Faced Welsh Mountain; Sheep	Badger Faced Welsh Mountain	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Balami!%!Sheep	VBO:0001311	Balami (Sheep)	Balami; Sheep	Balami	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Balbas!%!Sheep	VBO:0001312	Balbas (Sheep)	Balbas; Sheep	Balbas	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Baluchi!%!Sheep	VBO:0001313	Baluchi (Sheep)	Baluchi; Sheep	Baluchi	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Baraka!%!Sheep	VBO:0001314	Baraka (Sheep)	Baraka; Sheep	Baraka	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Barbado!%!Sheep	VBO:0001315	Barbado (Sheep)	Barbado; Sheep	Barbado	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Barbados Black Belly!%!Sheep	VBO:0001316	Barbados Black Belly (Sheep)	Barbados Black Belly; Sheep	Barbados Black Belly	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Bardoka!%!Sheep	VBO:0001318	Bardoka (Sheep)	Bardoka; Sheep	Bardoka	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Baregeois!%!Sheep	VBO:0001319	Baregeois (Sheep)	Baregeois; Sheep	Baregeois	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Barki!%!Sheep	VBO:0001320	Barki (Sheep)	Barki; Sheep	Barki	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Baruwal!%!Sheep	VBO:0001321	Baruwal (Sheep)	Baruwal; Sheep	Baruwal	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Belclare!%!Sheep	VBO:0001322	Belclare (Sheep)	Belclare; Sheep	Belclare	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Belgian Milk!%!Sheep	VBO:0001323	Belgian Milk (Sheep)	Belgian Milk; Sheep	Belgian Milk	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Belle Ile!%!Sheep	VBO:0001324	Belle Ile (Sheep)	Belle Ile; Sheep	Belle Ile	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
belokranjska pramenka!%!Sheep	VBO:0001325	belokranjska pramenka (Sheep)	belokranjska pramenka; Sheep	belokranjska pramenka	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Beltex!%!Sheep	VBO:0001326	Beltex (Sheep)	Beltex; Sheep	Beltex	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Beni Guil!%!Sheep	VBO:0001327	Beni Guil (Sheep)	Beni Guil; Sheep	Beni Guil	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Bentheim!%!Sheep	VBO:0001328	Bentheim (Sheep)	Bentheim; Sheep	Bentheim	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Bentheimer Landschaf!%!Sheep	VBO:0001329	Bentheimer Landschaf (Sheep)	Bentheimer Landschaf; Sheep	Bentheimer Landschaf	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Berber!%!Sheep	VBO:0001330	Berber (Sheep)	Berber; Sheep	Berber	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Bergamasca!%!Sheep	VBO:0001331	Bergamasca (Sheep)	Bergamasca; Sheep	Bergamasca	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Berrichon Du Cher!%!Sheep	VBO:0001332	Berrichon Du Cher (Sheep)	Berrichon Du Cher; Sheep	Berrichon Du Cher	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Bizet!%!Sheep	VBO:0001333	Bizet (Sheep)	Bizet; Sheep	Bizet	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Black Maure!%!Sheep	VBO:0001334	Black Maure (Sheep)	Black Maure; Sheep	Black Maure	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Black Welsh Mountain!%!Sheep	VBO:0001335	Black Welsh Mountain (Sheep)	Black Welsh Mountain; Sheep	Black Welsh Mountain	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Black-Face Manech!%!Sheep	VBO:0001336	Black-Face Manech (Sheep)	Black-Face Manech; Sheep	Black-Face Manech	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Blackface!%!Sheep	VBO:0001337	Blackface (Sheep)	Blackface; Sheep	Blackface	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Blackfaced Mountain!%!Sheep	VBO:0001338	Blackfaced Mountain (Sheep)	Blackfaced Mountain; Sheep	Blackfaced Mountain	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Blackhead Persian!%!Sheep	VBO:0001339	Blackhead Persian (Sheep)	Blackhead Persian; Sheep	Blackhead Persian	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Blanc Du Massif Central!%!Sheep	VBO:0001340	Blanc Du Massif Central (Sheep)	Blanc Du Massif Central; Sheep	Blanc Du Massif Central	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Bleu Du Maine!%!Sheep	VBO:0001341	Bleu Du Maine (Sheep)	Bleu Du Maine; Sheep	Bleu Du Maine	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Blinkhaar Afrikaner!%!Sheep	VBO:0001342	Blinkhaar Afrikaner (Sheep)	Blinkhaar Afrikaner; Sheep	Blinkhaar Afrikaner	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Blue Texel!%!Sheep	VBO:0001343	Blue Texel (Sheep)	Blue Texel; Sheep	Blue Texel	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Bluefaced Leicester!%!Sheep	VBO:0001344	Bluefaced Leicester (Sheep)	Bluefaced Leicester; Sheep	Bluefaced Leicester	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Booroola!%!Sheep	VBO:0001345	Booroola (Sheep)	Booroola; Sheep	Booroola	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Booroola Merino!%!Sheep	VBO:0001346	Booroola Merino (Sheep)	Booroola Merino; Sheep	Booroola Merino	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Border Leicester!%!Sheep	VBO:0001347	Border Leicester (Sheep)	Border Leicester; Sheep	Border Leicester	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Bornu!%!Sheep	VBO:0001348	Bornu (Sheep)	Bornu; Sheep	Bornu	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Boulonnais!%!Sheep	VBO:0001349	Boulonnais (Sheep)	Boulonnais; Sheep	Boulonnais	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
BovÅ¡ka ovca!%!Sheep	VBO:0001350	Bovška ovca (Sheep)	Bovška ovca; Sheep	Bovška ovca	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Bozakh!%!Sheep	VBO:0001351	Bozakh (Sheep)	Bozakh; Sheep	Bozakh	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Brigasca!%!Sheep	VBO:0001352	Brigasca (Sheep)	Brigasca; Sheep	Brigasca	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
British Milksheep!%!Sheep	VBO:0001353	British Milksheep (Sheep)	British Milksheep; Sheep	British Milksheep	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Brown Mountain!%!Sheep	VBO:0001354	Brown Mountain (Sheep)	Brown Mountain; Sheep	Brown Mountain	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Cambridge!%!Sheep	VBO:0001355	Cambridge (Sheep)	Cambridge; Sheep	Cambridge	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Canaria!%!Sheep	VBO:0001356	Canaria (Sheep)	Canaria; Sheep	Canaria	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Carinthian!%!Sheep	VBO:0001357	Carinthian (Sheep)	Carinthian; Sheep	Carinthian	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Cartera!%!Sheep	VBO:0001358	Cartera (Sheep)	Cartera; Sheep	Cartera	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Castilian!%!Sheep	VBO:0001359	Castilian (Sheep)	Castilian; Sheep	Castilian	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Castillonnais!%!Sheep	VBO:0001360	Castillonnais (Sheep)	Castillonnais; Sheep	Castillonnais	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Castlemilk Moorit!%!Sheep	VBO:0001361	Castlemilk Moorit (Sheep)	Castlemilk Moorit; Sheep	Castlemilk Moorit	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Caucasian Merino!%!Sheep	VBO:0001362	Caucasian Merino (Sheep)	Caucasian Merino; Sheep	Caucasian Merino	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Caussenard des Garrigues!%!Sheep	VBO:0001363	Caussenard des Garrigues (Sheep)	Caussenard des Garrigues; Sheep	Caussenard des Garrigues	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Caussenard Du Lot!%!Sheep	VBO:0001364	Caussenard Du Lot (Sheep)	Caussenard Du Lot; Sheep	Caussenard Du Lot	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Chamarita!%!Sheep	VBO:0001365	Chamarita (Sheep)	Chamarita; Sheep	Chamarita	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Charmois!%!Sheep	VBO:0001366	Charmois (Sheep)	Charmois; Sheep	Charmois	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Charolais!%!Sheep	VBO:0001367	Charolais (Sheep)	Charolais; Sheep	Charolais	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Charollais!%!Sheep	VBO:0001368	Charollais (Sheep)	Charollais; Sheep	Charollais	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Cheviot!%!Sheep	VBO:0001369	Cheviot (Sheep)	Cheviot; Sheep	Cheviot	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Chios!%!Sheep	VBO:0001370	Chios (Sheep)	Chios; Sheep	Chios	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Chushka!%!Sheep	VBO:0001371	Chushka (Sheep)	Chushka; Sheep	Chushka	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Cikta!%!Sheep	VBO:0001372	Cikta (Sheep)	Cikta; Sheep	Cikta	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Clun Forest!%!Sheep	VBO:0001373	Clun Forest (Sheep)	Clun Forest; Sheep	Clun Forest	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Coburger Fuchs!%!Sheep	VBO:0001374	Coburger Fuchs (Sheep)	Coburger Fuchs; Sheep	Coburger Fuchs	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Colbred!%!Sheep	VBO:0001375	Colbred (Sheep)	Colbred; Sheep	Colbred	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Colmenar!%!Sheep	VBO:0001376	Colmenar (Sheep)	Colmenar; Sheep	Colmenar	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Coloured Merino!%!Sheep	VBO:0001377	Coloured Merino (Sheep)	Coloured Merino; Sheep	Coloured Merino	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Columbia!%!Sheep	VBO:0001378	Columbia (Sheep)	Columbia; Sheep	Columbia	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Comeback!%!Sheep	VBO:0001379	Comeback (Sheep)	Comeback; Sheep	Comeback	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Coopworth!%!Sheep	VBO:0001380	Coopworth (Sheep)	Coopworth; Sheep	Coopworth	Sheep	NCBITaxon:9940	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
