vbo id	Sabrina's note: VBO names	OMIA breed_id	xref	OMIA breed_name	source	NCBITaxon_species_id	Xlookup NCBITaxon species name	DADIS Breed	DADIS Country	Other names, to be added	Notes (could be "A rdfs:comment" but unsure whether there is already a comment, so not adding at this point)
VBO:0016053	Kilakarsal-India	704	OMIA:704	Keezhakkaraisal	https://omia.org	9940	sheep	Kilakarsal	India		
VBO:0016518	KlÃ¶vsjÃ¶fÃ¥r [Klövsjöfår]-Sweden	1108	OMIA:1108	Klövsjö	https://omia.org	9940	sheep	KlÃ¶vsjÃ¶fÃ¥r [Klövsjöfår]	Sweden		
VBO:0004905	Kumauni-India	283	OMIA:283	Kumauni Hill	https://omia.org	9913	cattle	Kumauni	India		
VBO:0012562	Laconie P77-France	319	OMIA:319	Laconie	https://omia.org	9823	pig	Laconie P77	France		
VBO:0012408	Large White-Finland	840	OMIA:840	Finnish Yorkshire	https://omia.org	9823	pig	Large White	Finland		
VBO:0005372	Limonero-Venezuela (Bolivarian Republic of)	1065	OMIA:1065	Limonero	https://omia.org	9913	cattle	Limonero	Venezuela (Bolivarian Republic of)		
VBO:0006725	Lushi-China	896	OMIA:896	Lushi	https://omia.org	9031	chicken	Lushi	China		
VBO:0015887	MÃ©rinos d'Arles [Mérinos d'Arles]-France	67	OMIA:67	Merino d'Arles	https://omia.org	9940	sheep	MÃ©rinos d'Arles [Mérinos d'Arles]	France		
VBO:0016054	Magra-India	285	OMIA:285	Magra	https://omia.org	9940	sheep	Magra	India		
VBO:0003310	Magyar SzÃ¼rke [Magyar Szürke]-Hungary	521	OMIA:521	Grey Hungarian	https://omia.org	9913	cattle	Magyar SzÃ¼rke [Magyar Szürke]	Hungary		https://en.wikipedia.org/wiki/Hungarian_Grey
VBO:0004144	Magyartarka-Hungary	525	OMIA:525	Hungarian Red Spotted	https://omia.org	9913	cattle	Magyartarka	Hungary		
VBO:0004144	Magyartarka-Hungary	403	OMIA:403	Red Spotted Hungarian	https://omia.org	9913	cattle	Magyartarka	Hungary		
VBO:0004144	Magyartarka-Hungary	513	OMIA:513	Spotted Hungarian	https://omia.org	9913	cattle	Magyartarka	Hungary		
VBO:0004968	Maremmana-Italy	529	OMIA:529	Maremmana	https://omia.org	9913	cattle	Maremmana	Italy		
VBO:0016058	Marwari-India	478	OMIA:478	Marwari	https://omia.org	9940	sheep	Marwari	India		
VBO:0016132	Massese-Italy	1109	OMIA:1109	Massese	https://omia.org	9940	sheep	Massese	Italy		
VBO:0004696	Menufi-Egypt	474	OMIA:474	Baladi	https://omia.org	9913	cattle	Menufi	Egypt		
VBO:0012819	Min-China	429	OMIA:429	Minzhu	https://omia.org	9823	pig	Min	China		http://www.livestockoftheworld.com/Pigs/Breeds.asp?BreedLookupID=1851&SpeciesID=12
VBO:0001922	Miniature-United States of America	1077	OMIA:1077	Miniature Donkey	https://omia.org	9793	ass	Miniature	United States of America		
VBO:0004799	Miniature Zebu-United Kingdom of Great Britain and Northern Ireland	1094	OMIA:1094	Miniature Zebu	https://omia.org	9913	cattle	Miniature Zebu	United Kingdom of Great Britain and Northern Ireland		
VBO:0007408	Minohiki-Japan	914	OMIA:914	Minohiki	https://omia.org	9031	chicken	Minohiki	Japan		
VBO:0011358	Missouri Fox Trotter-Germany	1089	OMIA:1089	Missouri Foxtrotter	https://omia.org	9796	horse	Missouri Fox Trotter	Germany		
VBO:0016813	Mongolian Yak-Mongolia	975	OMIA:975	Mongolian	https://omia.org	30521	domestic yak	Mongolian Yak	Mongolia		
VBO:0002637	Montafon-North Macedonia	594	OMIA:594	Montafon	https://omia.org	9913	cattle	Montafon	North Macedonia		
VBO:0015497	Mouton vendÃ©en [Mouton vendéen]-France	459	OMIA:459	Mouton Vendeen	https://omia.org	9940	sheep	Mouton vendÃ©en [Mouton vendéen]	France		
VBO:0004971	Mucca Pisana-Italy	426	OMIA:426	Pisa	https://omia.org	9913	cattle	Mucca Pisana	Italy		
VBO:0006731	Muchuan Silkies Black-China	972	OMIA:972	Muchuan	https://omia.org	9031	chicken	Muchuan Silkies Black	China		
VBO:0016061	Muzaffarnagri-India	281	OMIA:281	Muzaffarnagari	https://omia.org	9940	sheep	Muzaffarnagri	India		
VBO:0009786	Nachi-Pakistan	1135	OMIA:1135	Nachi	https://omia.org	9925	goat	Nachi	Pakistan		
VBO:0016062	Nali-India	624	OMIA:624	Nali	https://omia.org	9940	sheep	Nali	India		
VBO:0016618	Namaqua Afrikaner-South Africa	485	OMIA:485	Namaqua	https://omia.org	9940	sheep	Namaqua Afrikaner	South Africa		
VBO:0009749	Nederlandse Landgeit-Netherlands	988	OMIA:988	Dutch Landrace	https://omia.org	9925	goat	Nederlandse Landgeit	Netherlands		
VBO:0016063	Nellore-India	425	OMIA:425	Nellore	https://omia.org	9940	sheep	Nellore	India		
VBO:0005339	Nganda-Uganda	290	OMIA:290	Nganda	https://omia.org	9913	cattle	Nganda	Uganda		
VBO:0016064	Nilgiri-India	241	OMIA:241	Nilgiri	https://omia.org	9940	sheep	Nilgiri	India		
VBO:0005340	Nkedi-Uganda	737	OMIA:737	Bukedi	https://omia.org	9913	cattle	Nkedi	Uganda		
VBO:0009062	Norsk melkegeit-Norway	1126	OMIA:1126	Norwegian Dairy Goat	https://omia.org	9925	goat	Norsk melkegeit	Norway		
